Field,Default,en
开始,开始,Start
创建人物,创建人物,Create
删除存档,删除存档,Delete
完成,完成,Done
返回,返回,Back
游玩,游玩,Play
保存存档,保存存档,Save
游戏,游戏,Game
背包,背包,Inventory
卡组,卡组,Pack
任务,任务,Quest
设置,设置,Setting
创建卡组,创建卡组,Create
轮抽,轮抽,Draft
猎人,猎人,Hunter
生存者,生存者,Survivor
祈求者,祈求者,Magic
旅行,旅行,Travel
前往,前往,Enter
制作,制作,Craft
分解,分解,Split
攻击力,攻击力,Damage
护甲,护甲,Armor
血量,血量,Health
火焰抗性,火焰抗性,FireResistance
寒冷抗性,寒冷抗性,FreezeResistance
麻痹抗性,麻痹抗性,ElectronicResistance
毒液抗性,毒液抗性,PosionResistance
增幅,增幅,Enhance
等级,等级,Level
选择,选择,Select
创建,创建,Create
分辨率,分辨率,Resolution
静音,静音,Mute
语言,语言,Language
结束回合,结束回合,End Turn
放弃,放弃,Give Up
跳过,跳过,Skip The Game
退出,退出,Exit
